Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boucher Etienne-Alexis P.Q.;Côté Dave É.A.P. - P.C.Q.;Dion Alain C.A.Q.-É.F.L.;Dion-Fontaine Aurélie P.V.Q./G.P.Q.;Landry Colombe Q.S.;Proulx Vincent O.N. - P.I.Q.;Vallières Karine P.L.Q./Q.L.P.;B.V.;B.R.;
283;Richmond;2014-04-07;G;Sherbrooke, v;2;;89;365;43;0;49;2;14;9;66;183;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;2;;90;375;45;2;66;3;15;3;62;196;6;
283;Richmond;2014-04-07;G;Sherbrooke, v;2;;91;358;44;0;65;3;15;0;78;205;3;
283;Richmond;2014-04-07;G;Sherbrooke, v;2;;92;385;60;0;64;4;6;1;59;194;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;2;;93;370;46;10;81;6;18;3;45;209;3;
283;Richmond;2014-04-07;G;Sherbrooke, v;3;;94;388;59;1;75;3;9;0;69;216;7;
283;Richmond;2014-04-07;G;Sherbrooke, v;3;;95;377;45;4;54;7;16;1;60;187;0;
283;Richmond;2014-04-07;G;Sherbrooke, v;3;;96;337;43;1;60;2;6;0;55;167;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;3;;97;364;55;0;58;6;13;0;57;189;6;
283;Richmond;2014-04-07;G;Sherbrooke, v;3;;98;347;48;2;29;2;9;2;49;141;6;
283;Richmond;2014-04-07;G;Sherbrooke, v;3;;99;357;62;0;46;2;18;1;56;185;3;
283;Richmond;2014-04-07;G;Sherbrooke, v;3;;100;357;53;0;42;3;12;5;61;176;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;3;;101;362;51;1;76;1;8;1;59;197;7;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;102;387;66;0;66;3;11;1;79;226;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;103;381;82;1;49;5;18;3;61;219;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;104;376;63;1;54;5;22;0;48;193;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;105;378;57;0;69;6;21;1;58;212;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;106;391;69;1;58;5;28;1;61;223;6;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;107;370;59;1;36;0;25;2;68;191;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;108;361;62;1;50;2;15;1;49;180;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;109;378;59;1;71;2;18;2;72;225;7;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;110;372;57;2;55;2;19;1;63;199;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;111;390;60;3;56;5;24;1;83;232;1;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;112;392;80;2;48;6;22;1;47;206;7;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;113;362;67;0;58;5;19;1;53;203;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;114;360;36;1;61;5;18;0;67;188;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;4;;115;370;41;1;66;5;11;1;58;183;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;116;418;52;0;66;2;22;3;70;215;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;117;365;43;0;36;3;21;2;63;168;1;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;118;351;62;1;44;2;16;4;61;190;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;119;369;44;2;37;3;15;1;55;157;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;120;409;55;2;58;3;18;1;79;216;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;121;383;64;2;60;4;26;1;58;215;0;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;122;361;62;1;43;4;21;2;75;208;0;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;123;375;57;0;68;1;19;0;86;231;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;124;408;65;3;65;3;19;0;69;224;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;125;382;49;3;69;1;11;0;88;221;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;126;373;58;1;71;2;15;3;69;219;3;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;127;369;61;0;51;3;26;0;57;198;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;128;353;38;1;60;1;13;2;69;184;0;
283;Richmond;2014-04-07;G;Sherbrooke, v;5;;129;412;52;0;48;10;22;0;50;182;1;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;130;380;99;0;65;2;16;3;66;251;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;131;362;80;2;57;3;14;4;83;243;1;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;132;367;62;0;54;2;22;2;72;214;1;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;133;389;70;3;57;3;20;1;55;209;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;134;363;63;2;76;4;26;0;66;237;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;135A;217;30;1;27;2;8;1;45;114;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;135B;230;29;0;34;0;12;1;53;129;3;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;136;379;60;1;43;1;17;4;93;219;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;137;377;59;2;57;4;18;5;54;199;6;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;138;356;59;0;46;0;8;1;55;169;3;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;139;369;60;1;58;5;15;1;74;214;1;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;140;373;62;0;47;4;23;2;66;204;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;141;487;33;1;51;0;9;0;57;151;1;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;Regr. BVO-141;142;0;0;0;0;0;0;0;0;0;0;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;143;378;64;0;49;3;14;1;59;190;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;144;380;62;1;55;4;8;4;66;200;6;
283;Richmond;2014-04-07;G;Sherbrooke, v;6;;145;399;63;0;55;6;18;2;83;227;2;
283;Richmond;2014-04-07;G;Saint-François-Xavier-de-Brompton, m;1;;146;357;80;1;47;8;23;1;52;212;5;
283;Richmond;2014-04-07;G;Saint-François-Xavier-de-Brompton, m;1;;147;344;54;0;57;2;21;1;62;197;6;
