Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudin Évelyne O.N. - P.I.Q.;Bolduc Ghislain P.L.Q./Q.L.P.;Boulanger Pierre-Luc C.A.Q.-É.F.L.;Hallé Isabelle P.Q.;Nadeau Ludovick Q.S.;B.V.;B.R.;
103;Mégantic;2014-04-07;G;La Patrie, m;1;;54;321;2;56;44;71;9;182;2;
103;Mégantic;2014-04-07;G;Hampden, ct;1;;55;143;0;16;12;27;2;57;0;
103;Mégantic;2014-04-07;G;Scotstown, v;1;;56;202;3;29;23;26;3;84;1;
103;Mégantic;2014-04-07;G;Scotstown, v;1;;57;201;0;23;19;31;7;80;0;
103;Mégantic;2014-04-07;G;Lingwick, ct;1;;58;331;0;109;68;55;19;251;4;
103;Mégantic;2014-04-07;G;Stratford, ct;1;;59;291;1;47;37;48;7;140;2;
103;Mégantic;2014-04-07;G;Stratford, ct;1;;60;282;1;56;36;67;6;166;3;
103;Mégantic;2014-04-07;G;Stratford, ct;1;;61;254;1;57;38;37;3;136;0;
103;Mégantic;2014-04-07;G;Weedon, m;1;;62;320;2;70;56;32;14;174;1;
103;Mégantic;2014-04-07;G;Weedon, m;1;;63;289;1;38;40;29;6;114;2;
103;Mégantic;2014-04-07;G;Weedon, m;1;;64;340;1;49;48;30;5;133;4;
103;Mégantic;2014-04-07;G;Weedon, m;1;Regr. BVO-64;65;0;0;0;0;0;0;0;0;
103;Mégantic;2014-04-07;G;Weedon, m;1;;66;279;1;49;31;24;3;108;2;
103;Mégantic;2014-04-07;G;Weedon, m;1;;67;311;2;58;47;32;5;144;0;
103;Mégantic;2014-04-07;G;Weedon, m;1;;68;302;1;40;42;30;13;126;2;
103;Mégantic;2014-04-07;G;Weedon, m;1;;69;306;0;65;22;28;6;121;1;
103;Mégantic;2014-04-07;G;Beaulac-Garthby, m;1;;70;397;1;83;65;65;5;219;0;
