Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bédard Stéphane P.Q.;Doyon Jean-Francois C.A.Q.-É.F.L.;Godin Réjean Q.S.;Gosselin Philippe O.N. - P.I.Q.;Mallette Michel P.L.Q./Q.L.P.;Pettersen Marc Ind;B.V.;B.R.;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;84;352;37;35;11;2;57;7;149;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;85;379;66;47;12;1;51;20;197;6;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;86;362;64;35;11;3;46;12;171;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;87;369;63;33;18;1;60;7;182;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;88;368;76;24;9;1;57;7;174;1;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;89;357;48;34;5;0;61;7;155;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;90;362;51;35;9;0;72;16;183;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;91;370;66;31;15;4;62;14;192;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;92;357;57;35;15;0;55;9;171;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;93;368;55;38;21;2;47;8;171;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;38;;94;404;39;26;17;3;26;4;115;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;38;;95;395;56;26;25;3;37;8;155;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;38;;96;342;62;34;19;2;62;9;188;1;
763;Chicoutimi;2014-04-07;G;Saguenay, v;38;;97;333;70;43;20;1;44;18;196;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;38;;98;347;72;34;25;0;71;11;213;1;
763;Chicoutimi;2014-04-07;G;Saguenay, v;38;;99;420;83;42;20;2;60;10;217;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;38;;100;438;68;21;13;0;35;8;145;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;39;;101;366;45;16;21;4;35;14;135;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;39;;102;534;32;8;14;2;22;2;80;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;39;;103;363;61;24;25;5;37;2;154;1;
763;Chicoutimi;2014-04-07;G;Saguenay, v;39;;104;347;76;20;29;5;23;11;164;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;39;;105;378;68;32;17;6;50;23;196;6;
763;Chicoutimi;2014-04-07;G;Saguenay, v;39;;106;427;61;31;26;6;42;18;184;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;39;;107;368;57;18;12;4;33;15;139;1;
763;Chicoutimi;2014-04-07;G;Saguenay, v;39;;108;413;64;21;16;2;32;14;149;5;
