Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Des Rochers-Lamarche Marie-Claire Q.S.;Ouimet Gilles P.L.Q./Q.L.P.;Paré Bernard O.N. - P.I.Q.;Rocque François-Gycelain P.Q.;Skeete Christopher C.A.Q.-É.F.L.;B.V.;B.R.;
443;Fabre;2014-04-07;G;Laval, v;7;;90A;267;1;133;0;4;5;143;1;
443;Fabre;2014-04-07;G;Laval, v;7;;90B;298;2;173;0;6;14;195;0;
443;Fabre;2014-04-07;G;Laval, v;7;;91;343;9;163;1;16;29;218;0;
443;Fabre;2014-04-07;G;Laval, v;8;;92;346;8;142;1;21;29;201;1;
443;Fabre;2014-04-07;G;Laval, v;8;;93;337;9;142;0;26;37;214;1;
443;Fabre;2014-04-07;G;Laval, v;8;;94;331;6;145;1;38;26;216;0;
443;Fabre;2014-04-07;G;Laval, v;8;;95;293;10;104;2;34;25;175;2;
443;Fabre;2014-04-07;G;Laval, v;8;;96;334;15;130;1;41;36;223;4;
443;Fabre;2014-04-07;G;Laval, v;8;;97;300;16;92;1;55;44;208;6;
443;Fabre;2014-04-07;G;Laval, v;8;;98;275;12;92;0;49;26;179;1;
443;Fabre;2014-04-07;G;Laval, v;8;;99;296;10;125;1;43;37;216;1;
443;Fabre;2014-04-07;G;Laval, v;8;;100;308;16;70;2;42;26;156;2;
443;Fabre;2014-04-07;G;Laval, v;9;;101;294;11;69;1;43;31;155;2;
443;Fabre;2014-04-07;G;Laval, v;9;;102;317;10;110;3;40;30;193;2;
443;Fabre;2014-04-07;G;Laval, v;9;;103;281;11;54;0;47;28;140;8;
443;Fabre;2014-04-07;G;Laval, v;9;;104;341;11;153;2;39;24;229;0;
443;Fabre;2014-04-07;G;Laval, v;9;;105;289;6;105;1;31;36;179;1;
443;Fabre;2014-04-07;G;Laval, v;9;;106;317;6;70;0;45;35;156;2;
443;Fabre;2014-04-07;G;Laval, v;10;;107A;187;7;32;1;30;22;92;3;
443;Fabre;2014-04-07;G;Laval, v;10;;107B;260;9;29;0;18;26;82;1;
443;Fabre;2014-04-07;G;Laval, v;10;;108;359;16;66;3;58;46;189;3;
443;Fabre;2014-04-07;G;Laval, v;10;Regr. BVO-108;109;0;0;0;0;0;0;0;0;
443;Fabre;2014-04-07;G;Laval, v;10;;110;297;10;43;3;43;39;138;1;
443;Fabre;2014-04-07;G;Laval, v;10;;111;316;12;71;0;50;50;183;1;
443;Fabre;2014-04-07;G;Laval, v;10;;112;337;25;62;3;56;43;189;4;
443;Fabre;2014-04-07;G;Laval, v;11;;113;302;10;68;0;51;38;167;3;
443;Fabre;2014-04-07;G;Laval, v;11;;114A;351;12;111;0;37;62;222;5;
443;Fabre;2014-04-07;G;Laval, v;11;;114B;356;17;144;0;37;25;223;1;
443;Fabre;2014-04-07;G;Laval, v;11;;115A;338;8;103;0;17;41;169;2;
443;Fabre;2014-04-07;G;Laval, v;11;;115B;312;2;134;0;22;24;182;2;
