Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Daniel É.A.P. - P.C.Q.;Côté Catherine Q.S.;Genois Hugues P.Q.;Grimard Stéphanie O.N. - P.I.Q.;Marcotte Jacques C.A.Q.-É.F.L.;Matte Michel P.L.Q./Q.L.P.;B.V.;B.R.;
599;Portneuf;2014-04-07;G;Donnacona, v;1;;53;267;0;6;19;4;58;39;126;5;
599;Portneuf;2014-04-07;G;Donnacona, v;1;;54;266;3;6;16;0;65;37;127;2;
599;Portneuf;2014-04-07;G;Donnacona, v;1;;55;270;4;5;24;3;74;38;148;4;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;56;254;0;4;28;1;45;57;135;0;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;57;326;0;8;15;0;46;23;92;0;
599;Portneuf;2014-04-07;G;Donnacona, v;2;Regr. BVO-57;58;0;0;0;0;0;0;0;0;0;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;59A;214;1;3;22;3;38;35;102;0;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;59B;232;1;3;14;1;57;61;137;2;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;60A;302;4;3;19;0;85;74;185;0;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;60B;325;4;3;23;3;69;62;164;6;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;61;261;5;6;25;1;66;51;154;1;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;62A;354;3;8;18;1;108;73;211;1;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;62B;340;2;6;24;2;84;52;170;3;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;63;281;1;8;16;1;73;54;153;3;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;64;305;0;5;33;0;73;53;164;1;
599;Portneuf;2014-04-07;G;Donnacona, v;2;;65;272;2;8;26;1;65;54;156;1;
599;Portneuf;2014-04-07;G;Neuville, v;1;;66;313;1;12;27;2;92;71;205;3;
599;Portneuf;2014-04-07;G;Neuville, v;1;;67;296;8;7;13;2;92;63;185;2;
599;Portneuf;2014-04-07;G;Neuville, v;1;;68;313;4;8;33;0;94;69;208;0;
599;Portneuf;2014-04-07;G;Neuville, v;1;;69;313;1;12;55;3;76;82;229;4;
599;Portneuf;2014-04-07;G;Neuville, v;1;;70;280;1;16;33;2;64;58;174;3;
599;Portneuf;2014-04-07;G;Neuville, v;1;;71A;257;2;10;32;3;68;59;174;4;
599;Portneuf;2014-04-07;G;Neuville, v;1;;71B;247;3;10;33;2;77;57;182;1;
599;Portneuf;2014-04-07;G;Neuville, v;1;;72;342;1;18;45;3;87;92;246;6;
599;Portneuf;2014-04-07;G;Neuville, v;1;;73;308;3;16;52;1;95;62;229;5;
599;Portneuf;2014-04-07;G;Neuville, v;1;;74;317;4;13;55;3;95;60;230;6;
599;Portneuf;2014-04-07;G;Neuville, v;1;;75;321;4;4;28;3;92;67;198;4;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;76;352;1;4;19;2;92;50;168;1;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;77;295;7;6;23;0;76;61;173;0;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;78;318;4;4;14;0;94;56;172;5;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;79;299;3;2;11;1;61;57;135;0;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;80;290;2;10;21;1;58;60;152;2;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;81;379;5;3;26;0;105;67;206;1;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;82A;337;6;5;25;0;104;67;207;1;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;82B;280;6;5;18;0;80;61;170;1;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;83;328;2;5;21;0;80;59;167;2;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;84;316;1;15;15;1;82;37;151;4;
