Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Manon Q.S.;Gervais-Després Éric O.N. - P.I.Q.;Lamarre Diane P.Q.;Tessier Maxime P.L.Q./Q.L.P.;Vaillancourt Sébastien C.A.Q.-É.F.L.;B.V.;B.R.;
223;Taillon;2014-04-07;G;Longueuil, v;41;;51;360;17;0;52;29;26;124;7;
223;Taillon;2014-04-07;G;Longueuil, v;41;;52;397;39;0;81;50;44;214;4;
223;Taillon;2014-04-07;G;Longueuil, v;41;;53;381;47;0;64;25;48;184;3;
223;Taillon;2014-04-07;G;Longueuil, v;41;Regr. BVO-56;54;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;41;Regr. BVO-56;55;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;41;;56;686;30;1;77;57;42;207;2;
223;Taillon;2014-04-07;G;Longueuil, v;41;;57;377;36;2;32;22;37;129;0;
223;Taillon;2014-04-07;G;Longueuil, v;41;;58;386;35;3;88;63;53;242;3;
223;Taillon;2014-04-07;G;Longueuil, v;41;;59;359;44;1;66;42;55;208;3;
223;Taillon;2014-04-07;G;Longueuil, v;42;;60;415;31;2;85;58;60;236;0;
223;Taillon;2014-04-07;G;Longueuil, v;42;;61;396;25;1;65;42;65;198;6;
223;Taillon;2014-04-07;G;Longueuil, v;42;;62;420;36;4;76;60;62;238;4;
223;Taillon;2014-04-07;G;Longueuil, v;42;;63;412;35;2;75;67;48;227;7;
223;Taillon;2014-04-07;G;Longueuil, v;42;;64;392;25;5;72;48;58;208;7;
223;Taillon;2014-04-07;G;Longueuil, v;42;;65;414;29;3;84;49;59;224;5;
223;Taillon;2014-04-07;G;Longueuil, v;42;;66;397;21;4;74;39;48;186;6;
223;Taillon;2014-04-07;G;Longueuil, v;42;;67;565;17;3;52;34;57;163;7;
223;Taillon;2014-04-07;G;Longueuil, v;42;Regr. BVO-67;68;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;42;;69;399;18;2;89;40;52;201;7;
223;Taillon;2014-04-07;G;Longueuil, v;42;;70;413;26;2;80;58;52;218;10;
223;Taillon;2014-04-07;G;Longueuil, v;42;;71;388;11;5;79;43;67;205;4;
223;Taillon;2014-04-07;G;Longueuil, v;42;;72;402;17;4;55;49;66;191;7;
223;Taillon;2014-04-07;G;Longueuil, v;42;;73;406;27;0;59;57;80;223;0;
223;Taillon;2014-04-07;G;Longueuil, v;42;;74;398;8;4;72;60;72;216;3;
223;Taillon;2014-04-07;G;Longueuil, v;42;;75;400;26;2;70;63;66;227;4;
223;Taillon;2014-04-07;G;Longueuil, v;42;;76;411;35;1;64;80;60;240;2;
223;Taillon;2014-04-07;G;Longueuil, v;42;;77;403;25;2;68;66;74;235;1;
223;Taillon;2014-04-07;G;Longueuil, v;42;;78;409;21;4;38;89;70;222;4;
223;Taillon;2014-04-07;G;Longueuil, v;43;;79;352;32;3;78;62;48;223;8;
223;Taillon;2014-04-07;G;Longueuil, v;43;;80;372;41;0;95;51;59;246;3;
223;Taillon;2014-04-07;G;Longueuil, v;43;;81;385;28;2;76;57;64;227;5;
223;Taillon;2014-04-07;G;Longueuil, v;43;;82;350;54;2;67;44;43;210;5;
223;Taillon;2014-04-07;G;Longueuil, v;43;;83;370;23;0;59;39;56;177;4;
223;Taillon;2014-04-07;G;Longueuil, v;43;;84;373;45;3;66;58;43;215;4;
223;Taillon;2014-04-07;G;Longueuil, v;43;;85;361;22;1;60;93;46;222;4;
223;Taillon;2014-04-07;G;Longueuil, v;43;;86;334;15;4;48;37;31;135;4;
223;Taillon;2014-04-07;G;Longueuil, v;44;;87;809;12;2;55;44;21;134;1;
223;Taillon;2014-04-07;G;Longueuil, v;44;;88;383;8;0;44;58;40;150;1;
223;Taillon;2014-04-07;G;Longueuil, v;44;Regr. BVO-87;89;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;44;Regr. BVO-87;90;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;44;Regr. BVO-87;91;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;44;;92;371;22;5;83;40;29;179;9;
223;Taillon;2014-04-07;G;Longueuil, v;44;;93;365;39;3;39;58;56;195;2;
223;Taillon;2014-04-07;G;Longueuil, v;44;;94;359;28;1;46;76;71;222;1;
223;Taillon;2014-04-07;G;Longueuil, v;44;;95;378;13;4;40;97;77;231;3;
223;Taillon;2014-04-07;G;Longueuil, v;44;;96;358;9;0;60;69;41;179;4;
223;Taillon;2014-04-07;G;Longueuil, v;44;;97;375;11;1;41;39;59;151;3;
223;Taillon;2014-04-07;G;Longueuil, v;44;;98;312;4;0;40;72;50;166;2;
223;Taillon;2014-04-07;G;Longueuil, v;44;;99;377;25;2;54;77;57;215;2;
223;Taillon;2014-04-07;G;Longueuil, v;44;Regr. BVO-101a;100;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;44;;101A;537;7;1;38;32;37;115;1;
223;Taillon;2014-04-07;G;Longueuil, v;44;;101B;280;11;0;38;26;38;113;1;
223;Taillon;2014-04-07;G;Longueuil, v;44;Regr. BVO-101b;102;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;45;;103;480;20;3;73;40;56;192;5;
223;Taillon;2014-04-07;G;Longueuil, v;45;Regr. BVO-103;104;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;45;;105;378;21;3;71;58;44;197;4;
223;Taillon;2014-04-07;G;Longueuil, v;45;Regr. BVO-107;106;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;45;;107;490;19;0;55;46;48;168;4;
223;Taillon;2014-04-07;G;Longueuil, v;45;;108;372;30;2;62;41;57;192;2;
223;Taillon;2014-04-07;G;Longueuil, v;45;;109;360;33;1;59;54;51;198;2;
223;Taillon;2014-04-07;G;Longueuil, v;45;;110;367;29;1;68;52;39;189;3;
223;Taillon;2014-04-07;G;Longueuil, v;45;;111;402;12;2;70;93;30;207;5;
223;Taillon;2014-04-07;G;Longueuil, v;45;;112;361;18;1;75;35;54;183;6;
223;Taillon;2014-04-07;G;Longueuil, v;45;;113;359;37;0;65;35;59;196;1;
